customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn,total_charges_outlier_flag,tenure_group,total_addon_services,average_charge_per_month,is_new_customer,has_any_streaming,is_fully_automated_payer,avg_charge_per_month
CUST-00038,Male,No,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two Year,No,Electronic check,96.75,4256.79,No,0,Established (25-48m),2,96.74522727272728,0,1,0,96.75
CUST-00039,Male,No,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Mailed check,28.48,824.58,No,0,Established (25-48m),0,28.433793103448277,0,0,0,28.43
CUST-00040,Male,No,No,No,44,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One Year,Yes,Electronic check,97.39,4277.03,Yes,0,Established (25-48m),3,97.20522727272727,0,0,0,97.21
CUST-00041,Male,No,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Credit card,33.29,1459.28,No,0,Established (25-48m),0,33.165454545454544,0,0,0,33.17
CUST-00042,Male,No,No,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,Yes,Electronic check,37.46,1648.66,Yes,0,Established (25-48m),0,37.469545454545454,0,0,0,37.47
CUST-00043,Female,No,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-To-Month,Yes,Credit card,106.22660000000005,6038.88,No,0,Loyal (49m+),5,111.83111111111111,0,1,0,111.83
CUST-00044,Female,No,No,Yes,58,Yes,Yes,DSL,No,Yes,No,No,No,No,One Year,No,Credit card,67.06,3893.25,No,0,Loyal (49m+),1,67.125,0,0,0,67.12
CUST-00045,Female,No,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,Yes,Mailed check,28.2,113.69,Yes,0,New (0-12m),0,28.4225,0,0,0,28.42
CUST-00046,Female,No,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Mailed check,29.01,908.86,No,0,Established (25-48m),0,29.318064516129034,0,0,0,29.32
CUST-00047,Female,No,No,No,5,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-To-Month,Yes,Electronic check,96.01,485.27,Yes,0,New (0-12m),3,97.054,0,1,0,97.05
CUST-00048,Male,No,No,Yes,25,Yes,No,DSL,No,No,No,No,No,No,Two Year,Yes,Credit card,55.03,1383.08,No,0,Established (25-48m),0,55.3232,0,0,0,55.32
CUST-00049,Female,No,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Bank transfer,28.96,1032.81,Yes,0,Established (25-48m),0,28.689166666666665,0,0,0,28.69
CUST-00050,Female,No,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One Year,Yes,Credit card,90.98,1086.08,No,0,New (0-12m),1,90.50666666666666,0,0,0,90.51
CUST-00051,M,No,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-To-Month,Yes,Electronic check,96.4,6559.6,No,0,Loyal (49m+),2,96.46470588235294,0,1,0,96.46
CUST-00052,M,No,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Credit card,33.93,809.89,No,0,Mid-term (13-24m),0,33.745416666666664,0,0,0,33.75
CUST-00053,Male,No,Yes,Yes,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One Year,Yes,Mailed check,87.93,1052.24,No,0,New (0-12m),1,87.68666666666667,0,0,0,87.69
CUST-00054,Female,Yes,No,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Credit card,20.37,388.84,No,0,Mid-term (13-24m),0,20.465263157894736,0,0,0,20.47
CUST-00055,Male,No,No,Yes,71,Yes,No,Fiber optic,No,Yes,No,No,No,No,One Year,No,Electronic check,84.48,5998.93,No,0,Loyal (49m+),1,84.49197183098592,0,0,0,84.49
CUST-00056,Female,Yes,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Bank transfer,36.89,2170.93,No,0,Loyal (49m+),0,36.79542372881355,0,0,0,36.8
CUST-00057,Female,No,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-To-Month,No,Bank transfer,82.73,5964.13,No,0,Loyal (49m+),1,82.83513888888889,0,1,0,82.84
CUST-00058,Male,No,No,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,Yes,Bank transfer,35.69,716.36,No,0,Mid-term (13-24m),0,35.818,0,0,0,35.82
CUST-00059,Male,No,Yes,No,60,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One Year,Yes,Mailed check,87.74,5268.11,No,0,Loyal (49m+),2,87.80183333333333,0,0,0,87.8
CUST-00060,Male,No,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-To-Month,Yes,Bank transfer,83.07,2083.32,No,0,Established (25-48m),1,83.3328,0,0,0,83.33
CUST-00061,Male,No,Yes,Yes,53,Yes,No,DSL,No,No,No,No,No,Yes,Two Year,Yes,Electronic check,59.34,3137.07,No,0,Loyal (49m+),1,59.190000000000005,0,1,0,59.19
CUST-00062,Male,No,Yes,Yes,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-To-Month,No,Mailed check,88.64,3633.72,Yes,0,Established (25-48m),2,88.62731707317073,0,0,0,88.63
CUST-00063,Male,No,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic check,78.31,774.83,No,0,New (0-12m),0,77.483,0,0,0,77.48
CUST-00064,Male,No,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Electronic check,31.47,1124.39,Yes,0,Established (25-48m),0,31.23305555555556,0,0,0,31.23
CUST-00065,Male,No,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-To-Month,Yes,Bank transfer,88.66,891.02,No,0,New (0-12m),2,89.102,0,1,0,89.1
CUST-00066,Female,No,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Electronic check,34.32,898.11,No,0,Established (25-48m),0,34.542692307692306,0,0,0,34.54
CUST-00067,Female,No,Yes,Yes,33,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One Year,No,Electronic check,97.04,3193.37,No,0,Established (25-48m),2,96.76878787878788,0,1,0,96.77
CUST-00068,male,No,Yes,No,37,Yes,No,DSL,No,No,No,Yes,No,No,Month-To-Month,Yes,Mailed check,61.43,2279.76,Yes,0,Established (25-48m),1,61.61513513513514,0,0,0,61.62
CUST-00069,Female,No,No,Yes,60,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two Year,Yes,Credit card,70.12,4202.83,No,0,Loyal (49m+),2,70.04716666666667,0,0,0,70.05
CUST-00070,Female,Yes,No,No,52,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-To-Month,Yes,Mailed check,67.97,3537.54,No,0,Loyal (49m+),2,68.02961538461538,0,0,0,68.03
CUST-00071,male,No,No,No,64,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-To-Month,Yes,Credit card,77.23,4946.43,No,0,Loyal (49m+),3,77.28796875,0,1,0,77.29
CUST-00072,Female,Yes,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic check,101.05,206.03,No,0,New (0-12m),3,103.015,1,1,0,103.02
CUST-00073,Male,No,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-To-Month,Yes,Bank transfer,97.68,6448.47,No,0,Loyal (49m+),3,97.70409090909091,0,0,0,97.7
CUST-00074,Female,No,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two Year,Yes,Electronic check,87.24,2347.74,No,0,Established (25-48m),1,86.95333333333332,0,0,0,86.95
CUST-00075,Male,No,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two Year,No,Credit card,82.86,1069.41,Yes,0,Mid-term (13-24m),1,82.2623076923077,0,1,0,82.26
CUST-00076,Female,No,No,No,51,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-To-Month,Yes,Mailed check,85.51,4353.83,No,0,Loyal (49m+),1,85.36921568627452,0,0,0,85.37
CUST-00077,Female,Yes,No,No,29,Yes,Yes,DSL,No,No,No,No,No,No,One Year,No,Mailed check,59.47,1733.05,No,0,Established (25-48m),0,59.7603448275862,0,0,0,59.76
CUST-00078,Female,No,Yes,Yes,57,No,No phone service,DSL,Yes,No,No,No,No,Yes,Two Year,No,Electronic check,57.4,3266.01,Yes,0,Loyal (49m+),2,57.29842105263158,0,1,0,57.3
CUST-00079,Male,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two Year,No,Credit card,87.12,4610.42,No,0,Loyal (49m+),1,86.98905660377359,0,0,0,86.99
CUST-00080,Female,No,Yes,No,68,Yes,Yes,DSL,No,No,No,No,No,No,Month-To-Month,Yes,Bank transfer,60.49,4123.09,No,0,Loyal (49m+),0,60.633676470588235,0,0,0,60.63
CUST-00081,Male,No,Yes,Yes,14,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two Year,No,Credit card,91.01,1264.23,No,0,Mid-term (13-24m),2,90.30214285714285,0,1,0,90.3
CUST-00082,Female,Yes,Yes,Yes,37,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-To-Month,No,Electronic check,71.61,2655.1,No,0,Established (25-48m),3,71.75945945945946,0,1,0,71.76
CUST-00083,Male,No,No,No,13,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One Year,No,Electronic check,106.22660000000005,1392.7,Yes,0,Mid-term (13-24m),4,107.13076923076923,0,1,0,107.13
CUST-00084,male,No,Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two Year,Yes,Electronic check,95.5,5351.24,No,0,Loyal (49m+),2,95.55785714285715,0,0,0,95.56
CUST-00085,Male,No,No,Yes,58,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Mailed check,98.76,5737.58,No,0,Loyal (49m+),3,98.92379310344828,0,1,0,98.92
CUST-00086,Male,No,No,No,7,Yes,No,DSL,No,No,No,No,No,No,Month-To-Month,No,Credit card,54.06,375.09,No,0,New (0-12m),0,53.58428571428571,0,0,0,53.58
CUST-00087,Female,No,No,No,71,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Mailed check,70.83,5020.69,No,0,Loyal (49m+),3,70.71394366197183,0,1,0,70.71
CUST-00088,Male,No,Yes,Yes,18,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-To-Month,Yes,Electronic check,95.94,1721.73,No,0,Mid-term (13-24m),3,95.65166666666667,0,1,0,95.65
CUST-00089,Female,No,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,Yes,Mailed check,29.36,902.14,No,0,Established (25-48m),0,29.101290322580645,0,0,0,29.1
CUST-00090,Female,No,Yes,Yes,28,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One Year,No,Bank transfer,71.94,2014.06,Yes,0,Established (25-48m),2,71.93071428571429,0,1,0,71.93
CUST-00091,Female,No,No,Yes,40,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-To-Month,Yes,Electronic check,74.5,2989.3,No,0,Established (25-48m),4,74.7325,0,1,0,74.73
CUST-00092,male,No,Yes,No,44,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-To-Month,No,Credit card,65.99,2903.91,No,0,Established (25-48m),1,65.99795454545455,0,1,0,66.0
CUST-00093,Female,No,No,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic check,88.55,1059.11,No,0,New (0-12m),2,88.25916666666666,0,1,0,88.26
CUST-00094,Female,No,Yes,Yes,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,Yes,Bank transfer,19.8858,509.15,Yes,0,Established (25-48m),0,19.582692307692305,0,0,0,19.58
CUST-00095,Female,No,No,Yes,18,No,No phone service,DSL,No,No,No,No,No,No,Month-To-Month,Yes,Mailed check,45.23,816.41,No,0,Mid-term (13-24m),0,45.35611111111111,0,0,0,45.36
CUST-00096,Female,No,No,Yes,25,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One Year,No,Electronic check,77.69,1950.85,No,0,Established (25-48m),2,78.03399999999999,0,1,0,78.03
CUST-00097,Female,No,No,No,52,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-To-Month,Yes,Bank transfer,87.71,4570.22,No,0,Loyal (49m+),2,87.88884615384616,0,0,0,87.89
CUST-00098,Female,No,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Mailed check,28.85,1451.23,No,0,Loyal (49m+),0,29.0246,0,0,0,29.02
CUST-00099,Female,No,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-To-Month,Yes,Bank transfer,86.64,3122.88,No,0,Established (25-48m),0,86.74666666666667,0,0,0,86.75
CUST-00100,Male,No,Yes,Yes,8,Yes,No,DSL,No,No,Yes,No,No,No,Two Year,Yes,Bank transfer,58.58,468.68,Yes,0,New (0-12m),1,58.585,0,0,0,58.58
CUST-00101,Male,No,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-To-Month,No,Electronic check,86.93,4429.23,No,0,Loyal (49m+),0,86.84764705882353,0,0,0,86.85
CUST-00102,Female,No,No,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Credit card,36.08,1921.07,No,0,Loyal (49m+),0,36.2466037735849,0,0,0,36.25
CUST-00103,Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,Yes,Bank transfer,30.94,62.78,No,0,New (0-12m),0,31.39,1,0,0,31.39
CUST-00104,Female,No,No,Yes,68,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two Year,Yes,Bank transfer,90.87,6189.07,No,0,Loyal (49m+),2,91.01573529411765,0,1,0,91.02
CUST-00105,Female,No,No,Yes,7,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Mailed check,77.38,550.03,No,0,New (0-12m),4,78.57571428571428,0,1,0,78.58
CUST-00106,Female,No,No,Yes,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two Year,No,Electronic check,90.67,1176.28,No,0,Mid-term (13-24m),1,90.48307692307692,0,0,0,90.48
CUST-00107,Female,No,No,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One Year,Yes,Electronic check,95.75,199.01,No,0,New (0-12m),2,99.505,1,0,0,99.5
CUST-00108,Female,No,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two Year,Yes,Credit card,94.77,2180.4,No,0,Mid-term (13-24m),2,94.8,0,1,0,94.8
CUST-00109,Female,No,Yes,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two Year,Yes,Credit card,96.86,1167.17,Yes,0,New (0-12m),2,97.26416666666667,0,1,0,97.26
CUST-00110,Male,No,Yes,No,42,Yes,No,DSL,No,No,No,No,No,No,One Year,No,Mailed check,52.79,2216.8,Yes,0,Established (25-48m),0,52.780952380952385,0,0,0,52.78
CUST-00111,Female,No,Yes,No,28,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-To-Month,Yes,Electronic check,69.22,1947.95,Yes,0,Established (25-48m),2,69.56964285714285,0,1,0,69.57
CUST-00112,Male,No,Yes,No,71,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Bank transfer,88.93,6312.01,No,0,Loyal (49m+),4,88.90154929577466,0,1,0,88.9
CUST-00113,Female,No,Yes,Yes,50,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two Year,No,Bank transfer,69.49,3466.42,No,0,Loyal (49m+),2,69.3284,0,0,0,69.33
CUST-00114,Female,No,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-To-Month,No,Credit card,89.9,3693.06,Yes,0,Established (25-48m),1,90.07463414634147,0,1,0,90.07
CUST-00115,Male,No,Yes,No,30,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One Year,Yes,Electronic check,92.28,2773.52,No,0,Established (25-48m),2,92.45066666666666,0,1,0,92.45
CUST-00116,Female,No,No,No,62,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-To-Month,Yes,Electronic check,67.12,4153.96,No,0,Loyal (49m+),2,66.99935483870968,0,1,0,67.0
CUST-00117,Male,No,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,Yes,Mailed check,30.56,764.1,No,0,Established (25-48m),0,30.564,0,0,0,30.56
CUST-00118,Female,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,No,One Year,No,Electronic check,57.6,982.77,No,0,Mid-term (13-24m),1,57.81,0,1,0,57.81
CUST-00119,Female,No,No,Yes,56,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One Year,No,Credit card,90.28,5053.88,No,0,Loyal (49m+),2,90.24785714285714,0,1,0,90.25
CUST-00120,Male,No,No,Yes,6,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-To-Month,Yes,Electronic check,62.84,385.21,No,0,New (0-12m),1,64.20166666666667,0,0,0,64.2
CUST-00121,Female,No,No,Yes,47,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-To-Month,No,Credit card,69.3,3265.96,No,0,Established (25-48m),2,69.48851063829787,0,1,0,69.49
CUST-00122,Male,Yes,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-To-Month,Yes,Electronic check,34.02,2014.55,No,0,Loyal (49m+),0,34.14491525423729,0,0,0,34.14
CUST-00123,Female,No,Yes,No,32,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One Year,No,Bank transfer,85.74,2744.3,No,0,Established (25-48m),3,85.759375,0,1,0,85.76
CUST-00124,Male,Yes,Yes,Yes,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-To-Month,No,Mailed check,57.59,114.25,Yes,0,New (0-12m),0,57.125,1,0,0,57.12
CUST-00125,Male,No,No,Yes,3,Yes,No,DSL,Yes,No,No,No,No,No,One Year,No,Electronic check,61.44,186.02,Yes,0,New (0-12m),1,62.00666666666667,1,0,0,62.01
CUST-00126,Female,Yes,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,Yes,Mailed check,36.63,110.23,No,0,New (0-12m),0,36.74333333333333,1,0,0,36.74
CUST-00127,Female,No,Yes,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two Year,Yes,Mailed check,87.66,3586.03,No,0,Established (25-48m),2,87.46414634146342,0,0,0,87.46
